state_id	item_index	lexical_identity	target_phonology	phoneme_length	S0_freear_predicted_phonology	divergence_step	divergence_is_eos_position	gold_token	chosen_token	gold_rank	gold_logit	chosen_logit	margin_chosen_minus_gold	top5_tokens	top5_logits	step_vs_goldprefix_logit_max_abs_dev	margin_numerically_ambiguous	n_generated_after_divergence	n_positional_mismatches	diag_prefix_correction_label	diag_prefix_correction_corrected_predicted_phonology	diag_prefix_correction_corrected_exact	diag_prefix_correction_corrected_second_divergence_step	diag_prefix_correction_corrected_terminated_by_cap
W3_SRC	19	at	AE T	2	OW P AH N	0	0	AE	OW	2	28.762714385986328	29.03429412841797	0.2715797424316406	OW AE AH K P	29.034294 28.762714 26.222574 25.840683 23.917313	1.33514404296875e-05	0	3	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE T	1	NA	0
W3_SRC	363	old	OW L D	3	L AO D	0	0	OW	L	5	22.41457176208496	34.022056579589844	11.607484817504883	L M JH HH OW	34.022057 28.303915 26.296373 23.702717 22.414572	1.1920928955078125e-05	0	2	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	OW L D	1	NA	0
W3_SRC	410	author	AO TH ER	3	AO TH AH N T	2	0	ER	AH	3	27.667661666870117	32.19870376586914	4.531042098999023	AH IH ER <eos> S	32.198704 29.815514 27.667662 26.656443 24.937077	0.0	0	2	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AO TH ER	1	NA	0
W3_SRC	421	process	P R AA S EH S	6	V IH K AH L	0	0	P	V	2	40.20781326293945	40.94868087768555	0.7408676147460938	V P K R M	40.948681 40.207813 34.083473 32.948162 32.656303	2.288818359375e-05	0	4	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S EH S	1	NA	0
W3_SRC	621	possible	P AA S AH B AH L	7	P AA Z AH T ER	2	0	S	Z	2	51.18307876586914	53.03063201904297	1.8475532531738281	Z S R L Y	53.030632 51.183079 42.111042 28.176311 23.432022	0.0	0	3	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P AA S AH B AH L	1	NA	0
W3_SRC	1190	featured	F IY CH ER D	5	F IY CH ER IH NG	4	0	D	IH	2	46.98334503173828	47.64690017700195	0.6635551452636719	IH D <eos> B F	47.646900 46.983345 45.910286 22.108463 21.404808	0.0	0	1	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	F IY CH ER D	1	NA	0
W3_SRC	1405	positive	P AA Z AH T IH V	7	B AA R N AH T	0	0	P	B	2	29.96851348876953	36.182350158691406	6.213836669921875	B P M R F	36.182350 29.968513 20.944660 18.918358 16.703796	7.62939453125e-06	0	5	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P AA Z AH T IH V	1	NA	0
W3_SRC	1422	processing	P R AA S EH S IH NG	8	P R IH S EH P T	2	0	AA	IH	2	71.65679931640625	75.20734405517578	3.5505447387695312	IH AA AY IY EH	75.207344 71.656799 56.007389 54.712357 54.608997	0.0	0	4	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S EH S IH NG	1	NA	0
W3_SRC	1458	longer	L AO NG G ER	5	L AO NG	3	0	G	<eos>	2	51.68372344970703	52.91771697998047	1.2339935302734375	<eos> G Z ER IH	52.917717 51.683723 33.972103 25.553734 21.311504	0.0	0	0	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	L AO NG G	0	4	0
W3_SRC	1464	german	JH ER M AH N	5	AO R TH IH N EH R IY	0	0	JH	AO	2	31.212696075439453	31.550424575805664	0.33772850036621094	AO JH F B CH	31.550425 31.212696 26.622614 22.516788 17.167814	1.1444091796875e-05	0	7	7	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	JH ER M AH N	1	NA	0
W3_SRC	1716	pet	P EH T	3	P EH G	2	0	T	G	2	47.29962158203125	47.412784576416016	0.11316299438476562	G T R S K	47.412785 47.299622 40.173611 38.857738 37.949242	0.0	0	0	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P EH T	1	NA	0
W3_SRC	1925	kansas	K AE N Z AH S	6	K AE N AH Z OW	3	0	Z	AH	2	50.011138916015625	50.208431243896484	0.19729232788085938	AH Z T Y S	50.208431 50.011139 35.111824 28.428650 21.646749	0.0	0	2	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AE N Z AH S	1	NA	0
W3_SRC	1945	processes	P R AA S EH S AH Z	8	P R AA S AH S AH Z	4	0	EH	AH	2	48.36637496948242	49.29527282714844	0.9288978576660156	AH EH P IH T	49.295273 48.366375 41.860481 36.794003 30.361961	0.0	0	3	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S EH S AH Z	1	NA	0
W3_SRC	2041	universal	Y UW N AH V ER S AH L	9	Y UW N AH V ER	6	0	S	<eos>	2	43.98257827758789	45.80221176147461	1.8196334838867188	<eos> S N D ZH	45.802212 43.982578 32.996784 29.552975 28.142334	0.0	0	2	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	Y UW N AH V ER S AH L	1	NA	0
W3_SRC	2083	charges	CH AA R JH AH Z	6	CH AA R JH AH Z D	6	1	<eos>	D	2	60.86515808105469	69.0528335571289	8.187675476074219	D <eos> L IY AH	69.052834 60.865158 37.267456 35.892189 26.043865	0.0	0	0	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	CH AA R JH AH Z	1	NA	0
W3_SRC	2322	clearly	K L IH R L IY	6	K R IH P L AH T IY	1	0	L	R	2	50.45252990722656	51.2621955871582	0.8096656799316406	R L AH OW AW	51.262196 50.452530 34.492393 29.788757 29.758154	0.0	0	6	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K L IH R L IY	1	NA	0
W3_SRC	2562	agriculture	AE G R IH K AH L CH ER	9	AE G R AH F AA L AH JH IY	3	0	IH	AH	2	73.72162628173828	77.12252807617188	3.4009017944335938	AH IH AE EH OW	77.122528 73.721626 59.412704 59.303333 55.585285	0.0	0	6	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE G R IH K AH L CH ER	1	NA	0
W3_SRC	2702	clothes	K L OW DH Z	5	SH W EH S T	0	0	K	SH	2	37.69586944580078	39.11764144897461	1.4217720031738281	SH K S AH L	39.117641 37.695869 34.190975 30.271473 29.989191	1.52587890625e-05	0	4	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K L OW DH Z	1	NA	0
W3_SRC	2751	relief	R IH L IY F	5	R IY L IY K	1	0	IH	IY	2	82.25104522705078	90.316162109375	8.065116882324219	IY IH EH AE AH	90.316162 82.251045 71.695648 49.921211 48.277412	0.0	0	3	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH L IY F	1	NA	0
